ano,mes,grupo,internacoes
2010,11,A27 leptospirose,2
2010,11,B15 hepatite A,5
2010,11,B65-B83 helmintiases,8
2010,11,TODAS AS CAUSAS,35150
2010,12,A00-A09 intestinais,5171
2010,12,B15 hepatite A,3
2010,12,B65-B83 helmintiases,3
2010,12,TODAS AS CAUSAS,33311
2011,1,A00-A09 intestinais,5383
2011,1,B15 hepatite A,8
2011,1,B65-B83 helmintiases,3
2011,1,TODAS AS CAUSAS,33900
2011,2,A00-A09 intestinais,5014
2011,2,A27 leptospirose,1
2011,2,B15 hepatite A,3
2011,2,B65-B83 helmintiases,2
2011,2,TODAS AS CAUSAS,33891
2011,3,A00-A09 intestinais,4321
2011,3,B15 hepatite A,8
2011,3,B65-B83 helmintiases,5
2011,3,TODAS AS CAUSAS,34892
2011,4,A00-A09 intestinais,3683
2011,4,B15 hepatite A,6
2011,4,B65-B83 helmintiases,1
2011,4,TODAS AS CAUSAS,35093
2011,5,A00-A09 intestinais,3426
2011,5,B15 hepatite A,7
2011,5,B65-B83 helmintiases,7
2011,5,TODAS AS CAUSAS,33563
2011,6,A00-A09 intestinais,3464
2011,6,B15 hepatite A,8
2011,6,B65-B83 helmintiases,2
2011,6,TODAS AS CAUSAS,33455
2011,7,A00-A09 intestinais,3398
2011,7,B15 hepatite A,12
2011,7,B65-B83 helmintiases,2
2011,7,TODAS AS CAUSAS,33575
2011,8,A00-A09 intestinais,3693
2011,8,A27 leptospirose,1
2011,8,B15 hepatite A,7
2011,8,B65-B83 helmintiases,7
2011,8,TODAS AS CAUSAS,33480
2011,9,A00-A09 intestinais,3742
2011,9,A27 leptospirose,1
2011,9,B15 hepatite A,5
2011,9,B65-B83 helmintiases,3
2011,9,TODAS AS CAUSAS,33543
2011,10,A00-A09 intestinais,3838
2011,10,A27 leptospirose,1
2011,10,B15 hepatite A,4
2011,10,B65-B83 helmintiases,3
2011,10,TODAS AS CAUSAS,34798
2011,11,A00-A09 intestinais,4131
2011,11,B15 hepatite A,8
2011,11,B65-B83 helmintiases,3
2011,11,TODAS AS CAUSAS,33923
2011,12,A00-A09 intestinais,4708
2011,12,B15 hepatite A,9
2011,12,B65-B83 helmintiases,4
2011,12,TODAS AS CAUSAS,34947
2012,1,A00-A09 intestinais,4220
2012,1,A27 leptospirose,1
2012,1,B15 hepatite A,5
2012,1,B65-B83 helmintiases,3
2012,1,TODAS AS CAUSAS,33697
2012,2,A00-A09 intestinais,4058
2012,2,B15 hepatite A,8
2012,2,B65-B83 helmintiases,2
2012,2,TODAS AS CAUSAS,33072
2012,3,A00-A09 intestinais,4050
2012,3,B15 hepatite A,3
2012,3,B65-B83 helmintiases,4
2012,3,TODAS AS CAUSAS,34013
2012,4,A00-A09 intestinais,4211
2012,4,A27 leptospirose,1
2012,4,B15 hepatite A,4
2012,4,B65-B83 helmintiases,4
2012,4,TODAS AS CAUSAS,35405
2012,5,A00-A09 intestinais,3588
2012,5,A27 leptospirose,1
2012,5,B15 hepatite A,13
2012,5,B65-B83 helmintiases,1
2012,5,TODAS AS CAUSAS,36161
2012,6,A00-A09 intestinais,3350
2012,6,A27 leptospirose,2
2012,6,B15 hepatite A,4
2012,6,B65-B83 helmintiases,1
2012,6,TODAS AS CAUSAS,33692
2012,7,A00-A09 intestinais,3350
2012,7,B15 hepatite A,5
2012,7,B65-B83 helmintiases,1
2012,7,TODAS AS CAUSAS,34552
2012,8,A00-A09 intestinais,3797
2012,8,B15 hepatite A,4
2012,8,B65-B83 helmintiases,5
2012,8,TODAS AS CAUSAS,33313
2012,9,A00-A09 intestinais,3888
2012,9,A27 leptospirose,1
2012,9,B15 hepatite A,7
2012,9,B65-B83 helmintiases,1
2012,9,TODAS AS CAUSAS,33005
2012,10,A00-A09 intestinais,3533
2012,10,B15 hepatite A,4
2012,10,TODAS AS CAUSAS,31011
2012,11,A00-A09 intestinais,3359
2012,11,A27 leptospirose,1
2012,11,B15 hepatite A,2
2012,11,B65-B83 helmintiases,2
2012,11,TODAS AS CAUSAS,30687
2012,12,A00-A09 intestinais,3599
2012,12,B15 hepatite A,4
2012,12,B65-B83 helmintiases,2
2012,12,TODAS AS CAUSAS,28371
2013,1,A00-A09 intestinais,5362
2013,1,B15 hepatite A,2
2013,1,B65-B83 helmintiases,2
2013,1,TODAS AS CAUSAS,31804
2013,2,A00-A09 intestinais,5087
2013,2,B15 hepatite A,9
2013,2,B65-B83 helmintiases,3
2013,2,TODAS AS CAUSAS,31926
2013,3,A00-A09 intestinais,4584
2013,3,B15 hepatite A,7
2013,3,B65-B83 helmintiases,1
2013,3,TODAS AS CAUSAS,33269
2013,4,A00-A09 intestinais,3962
2013,4,B15 hepatite A,13
2013,4,B65-B83 helmintiases,3
2013,4,TODAS AS CAUSAS,34424
2013,5,A00-A09 intestinais,3518
2013,5,B15 hepatite A,11
2013,5,B65-B83 helmintiases,2
2013,5,TODAS AS CAUSAS,34386
2013,6,A00-A09 intestinais,3247
2013,6,A27 leptospirose,2
2013,6,B15 hepatite A,7
2013,6,B65-B83 helmintiases,6
2013,6,TODAS AS CAUSAS,35047
2013,7,A00-A09 intestinais,3245
2013,7,B15 hepatite A,6
2013,7,B65-B83 helmintiases,3
2013,7,TODAS AS CAUSAS,35410
2013,8,A00-A09 intestinais,3895
2013,8,A27 leptospirose,2
2013,8,B15 hepatite A,3
2013,8,B65-B83 helmintiases,7
2013,8,TODAS AS CAUSAS,35552
2013,9,A00-A09 intestinais,3705
2013,9,A27 leptospirose,1
2013,9,B15 hepatite A,4
2013,9,B65-B83 helmintiases,5
2013,9,TODAS AS CAUSAS,35486
2013,10,A00-A09 intestinais,3876
2013,10,A27 leptospirose,1
2013,10,B15 hepatite A,9
2013,10,B65-B83 helmintiases,4
2013,10,TODAS AS CAUSAS,35351
2013,11,A00-A09 intestinais,4207
2013,11,B15 hepatite A,8
2013,11,B65-B83 helmintiases,8
2013,11,TODAS AS CAUSAS,34967
2013,12,A00-A09 intestinais,4458
2013,12,A27 leptospirose,1
2013,12,B15 hepatite A,5
2013,12,B65-B83 helmintiases,7
2013,12,TODAS AS CAUSAS,34203
2014,1,A00-A09 intestinais,4701
2014,1,B15 hepatite A,9
2014,1,B65-B83 helmintiases,10
2014,1,TODAS AS CAUSAS,34736
2014,2,A00-A09 intestinais,4840
2014,2,B15 hepatite A,7
2014,2,B65-B83 helmintiases,5
2014,2,TODAS AS CAUSAS,33438
2014,3,A00-A09 intestinais,4547
2014,3,A27 leptospirose,3
2014,3,B15 hepatite A,5
2014,3,B65-B83 helmintiases,9
2014,3,TODAS AS CAUSAS,33979
2014,4,A00-A09 intestinais,3888
2014,4,A27 leptospirose,3
2014,4,B15 hepatite A,7
2014,4,B65-B83 helmintiases,8
2014,4,TODAS AS CAUSAS,34739
2014,5,A00-A09 intestinais,4055
2014,5,A27 leptospirose,3
2014,5,B15 hepatite A,2
2014,5,B65-B83 helmintiases,2
2014,5,TODAS AS CAUSAS,35901
2014,6,A00-A09 intestinais,3983
2014,6,A27 leptospirose,4
2014,6,B15 hepatite A,3
2014,6,B65-B83 helmintiases,5
2014,6,TODAS AS CAUSAS,35078
2014,7,A00-A09 intestinais,3861
2014,7,A27 leptospirose,2
2014,7,B15 hepatite A,7
2014,7,B65-B83 helmintiases,6
2014,7,TODAS AS CAUSAS,35723
2014,8,A00-A09 intestinais,3549
2014,8,B15 hepatite A,8
2014,8,B65-B83 helmintiases,7
2014,8,TODAS AS CAUSAS,35903
2014,9,A00-A09 intestinais,3721
2014,9,A27 leptospirose,3
2014,9,B15 hepatite A,7
2014,9,B65-B83 helmintiases,4
2014,9,TODAS AS CAUSAS,36607
2014,10,A00-A09 intestinais,3440
2014,10,B15 hepatite A,6
2014,10,B65-B83 helmintiases,4
2014,10,TODAS AS CAUSAS,34098
2014,11,A00-A09 intestinais,3550
2014,11,B15 hepatite A,4
2014,11,B65-B83 helmintiases,6
2014,11,TODAS AS CAUSAS,34723
2014,12,A00-A09 intestinais,3418
2014,12,B15 hepatite A,4
2014,12,B65-B83 helmintiases,7
2014,12,TODAS AS CAUSAS,33080
2015,1,A00-A09 intestinais,3962
2015,1,B15 hepatite A,4
2015,1,B65-B83 helmintiases,3
2015,1,TODAS AS CAUSAS,32902
2015,2,A00-A09 intestinais,3931
2015,2,B15 hepatite A,6
2015,2,B65-B83 helmintiases,2
2015,2,TODAS AS CAUSAS,33493
2015,3,A00-A09 intestinais,4149
2015,3,A27 leptospirose,2
2015,3,B15 hepatite A,12
2015,3,B65-B83 helmintiases,5
2015,3,TODAS AS CAUSAS,37167
2015,4,A00-A09 intestinais,3707
2015,4,A27 leptospirose,2
2015,4,B15 hepatite A,3
2015,4,B65-B83 helmintiases,8
2015,4,TODAS AS CAUSAS,36069
2015,5,A00-A09 intestinais,3260
2015,5,A27 leptospirose,2
2015,5,B15 hepatite A,2
2015,5,B65-B83 helmintiases,2
2015,5,TODAS AS CAUSAS,37258
2015,6,A00-A09 intestinais,3239
2015,6,B15 hepatite A,6
2015,6,B65-B83 helmintiases,4
2015,6,TODAS AS CAUSAS,36770
2015,7,A00-A09 intestinais,3224
2015,7,A27 leptospirose,1
2015,7,B15 hepatite A,3
2015,7,B65-B83 helmintiases,3
2015,7,TODAS AS CAUSAS,36675
2015,8,A00-A09 intestinais,3470
2015,8,B15 hepatite A,7
2015,8,B65-B83 helmintiases,9
2015,8,TODAS AS CAUSAS,36201
2015,9,A00-A09 intestinais,3410
2015,9,B15 hepatite A,3
2015,9,B65-B83 helmintiases,6
2015,9,TODAS AS CAUSAS,35447
2015,10,A00-A09 intestinais,3511
2015,10,B15 hepatite A,2
2015,10,B65-B83 helmintiases,7
2015,10,TODAS AS CAUSAS,35709
2015,11,A00-A09 intestinais,3496
2015,11,A27 leptospirose,2
2015,11,B15 hepatite A,3
2015,11,B65-B83 helmintiases,12
2015,11,TODAS AS CAUSAS,34050
2015,12,A00-A09 intestinais,3714
2015,12,A27 leptospirose,1
2015,12,B15 hepatite A,1
2015,12,B65-B83 helmintiases,7
2015,12,TODAS AS CAUSAS,33826
2016,1,A00-A09 intestinais,4367
2016,1,B15 hepatite A,2
2016,1,B65-B83 helmintiases,4
2016,1,TODAS AS CAUSAS,34781
2016,2,A00-A09 intestinais,5625
2016,2,A27 leptospirose,3
2016,2,B65-B83 helmintiases,7
2016,2,TODAS AS CAUSAS,34146
2016,3,A00-A09 intestinais,4941
2016,3,A27 leptospirose,1
2016,3,B15 hepatite A,2
2016,3,B65-B83 helmintiases,4
2016,3,TODAS AS CAUSAS,35081
2016,4,A00-A09 intestinais,4144
2016,4,B65-B83 helmintiases,3
2016,4,TODAS AS CAUSAS,35451
2016,5,A00-A09 intestinais,3387
2016,5,B15 hepatite A,1
2016,5,B65-B83 helmintiases,2
2016,5,TODAS AS CAUSAS,35902
2016,6,A00-A09 intestinais,3274
2016,6,A27 leptospirose,1
2016,6,B15 hepatite A,4
2016,6,B65-B83 helmintiases,6
2016,6,TODAS AS CAUSAS,35097
2016,7,A00-A09 intestinais,3359
2016,7,A27 leptospirose,1
2016,7,B15 hepatite A,1
2016,7,B65-B83 helmintiases,1
2016,7,TODAS AS CAUSAS,34282
2016,8,A00-A09 intestinais,4037
2016,8,B15 hepatite A,1
2016,8,B65-B83 helmintiases,3
2016,8,TODAS AS CAUSAS,35049
2016,9,A00-A09 intestinais,4096
2016,9,A27 leptospirose,3
2016,9,B15 hepatite A,4
2016,9,B65-B83 helmintiases,4
2016,9,TODAS AS CAUSAS,34498
2016,10,A00-A09 intestinais,3761
2016,10,B15 hepatite A,1
2016,10,B65-B83 helmintiases,4
2016,10,TODAS AS CAUSAS,32657
2016,11,A00-A09 intestinais,3396
2016,11,B15 hepatite A,1
2016,11,B65-B83 helmintiases,12
2016,11,TODAS AS CAUSAS,31349
2016,12,A00-A09 intestinais,2777
2016,12,A27 leptospirose,1
2016,12,B15 hepatite A,1
2016,12,B65-B83 helmintiases,9
2016,12,TODAS AS CAUSAS,26867
2017,1,A00-A09 intestinais,4276
2017,1,B65-B83 helmintiases,1
2017,1,TODAS AS CAUSAS,30982
2017,2,A00-A09 intestinais,4760
2017,2,B15 hepatite A,3
2017,2,B65-B83 helmintiases,5
2017,2,TODAS AS CAUSAS,34907
2017,3,A00-A09 intestinais,4029
2017,3,A27 leptospirose,4
2017,3,B15 hepatite A,6
2017,3,B65-B83 helmintiases,4
2017,3,TODAS AS CAUSAS,36794
2017,4,A00-A09 intestinais,3128
2017,4,B15 hepatite A,1
2017,4,B65-B83 helmintiases,1
2017,4,TODAS AS CAUSAS,34973
2017,5,A00-A09 intestinais,3018
2017,5,A27 leptospirose,1
2017,5,B15 hepatite A,7
2017,5,B65-B83 helmintiases,3
2017,5,TODAS AS CAUSAS,36759
2017,6,A00-A09 intestinais,3283
2017,6,A27 leptospirose,2
2017,6,B15 hepatite A,4
2017,6,B65-B83 helmintiases,6
2017,6,TODAS AS CAUSAS,36874
2017,7,A00-A09 intestinais,3010
2017,7,A27 leptospirose,1
2017,7,B15 hepatite A,5
2017,7,B65-B83 helmintiases,5
2017,7,TODAS AS CAUSAS,38438
2017,8,A00-A09 intestinais,3065
2017,8,A27 leptospirose,4
2017,8,B65-B83 helmintiases,6
2017,8,TODAS AS CAUSAS,36535
2017,9,A00-A09 intestinais,3068
2017,9,B15 hepatite A,4
2017,9,B65-B83 helmintiases,7
2017,9,TODAS AS CAUSAS,36630
2017,10,A00-A09 intestinais,3228
2017,10,A27 leptospirose,4
2017,10,B65-B83 helmintiases,5
2017,10,TODAS AS CAUSAS,35472
2017,11,A00-A09 intestinais,3496
2017,11,B15 hepatite A,1
2017,11,B65-B83 helmintiases,8
2017,11,TODAS AS CAUSAS,35936
2017,12,A00-A09 intestinais,3644
2017,12,B15 hepatite A,1
2017,12,B65-B83 helmintiases,4
2017,12,TODAS AS CAUSAS,38074
2018,1,A00-A09 intestinais,4653
2018,1,A27 leptospirose,1
2018,1,B15 hepatite A,1
2018,1,B65-B83 helmintiases,6
2018,1,TODAS AS CAUSAS,39022
2018,2,A00-A09 intestinais,4476
2018,2,B15 hepatite A,1
2018,2,B65-B83 helmintiases,12
2018,2,TODAS AS CAUSAS,35746
2018,3,A00-A09 intestinais,3976
2018,3,B15 hepatite A,4
2018,3,B65-B83 helmintiases,7
2018,3,TODAS AS CAUSAS,39005
2018,4,A00-A09 intestinais,3629
2018,4,A27 leptospirose,2
2018,4,B65-B83 helmintiases,1
2018,4,TODAS AS CAUSAS,40333
2018,5,A00-A09 intestinais,3275
2018,5,A27 leptospirose,1
2018,5,B65-B83 helmintiases,5
2018,5,TODAS AS CAUSAS,40225
2018,6,A00-A09 intestinais,2970
2018,6,A27 leptospirose,3
2018,6,B15 hepatite A,1
2018,6,B65-B83 helmintiases,3
2018,6,TODAS AS CAUSAS,38892
2018,7,A00-A09 intestinais,3121
2018,7,B15 hepatite A,3
2018,7,B65-B83 helmintiases,3
2018,7,TODAS AS CAUSAS,39037
2018,8,A00-A09 intestinais,3191
2018,8,A27 leptospirose,1
2018,8,B15 hepatite A,4
2018,8,B65-B83 helmintiases,4
2018,8,TODAS AS CAUSAS,39375
2018,9,A00-A09 intestinais,3292
2018,9,A27 leptospirose,1
2018,9,B15 hepatite A,1
2018,9,B65-B83 helmintiases,5
2018,9,TODAS AS CAUSAS,38302
2018,10,A00-A09 intestinais,3405
2018,10,B15 hepatite A,1
2018,10,B65-B83 helmintiases,4
2018,10,TODAS AS CAUSAS,38714
2018,11,A00-A09 intestinais,3213
2018,11,B65-B83 helmintiases,15
2018,11,TODAS AS CAUSAS,37848
2018,12,A00-A09 intestinais,3306
2018,12,A27 leptospirose,1
2018,12,B65-B83 helmintiases,13
2018,12,TODAS AS CAUSAS,37149
2019,1,A00-A09 intestinais,3827
2019,1,A27 leptospirose,2
2019,1,B15 hepatite A,4
2019,1,B65-B83 helmintiases,15
2019,1,TODAS AS CAUSAS,38544
2019,2,A00-A09 intestinais,3029
2019,2,A27 leptospirose,1
2019,2,B65-B83 helmintiases,6
2019,2,TODAS AS CAUSAS,35594
2019,3,A00-A09 intestinais,3092
2019,3,A27 leptospirose,4
2019,3,B65-B83 helmintiases,12
2019,3,TODAS AS CAUSAS,38925
2019,4,A00-A09 intestinais,3049
2019,4,A27 leptospirose,3
2019,4,B15 hepatite A,2
2019,4,B65-B83 helmintiases,4
2019,4,TODAS AS CAUSAS,39438
2019,5,A00-A09 intestinais,2967
2019,5,A27 leptospirose,1
2019,5,B15 hepatite A,1
2019,5,B65-B83 helmintiases,6
2019,5,TODAS AS CAUSAS,40286
2019,6,A00-A09 intestinais,2602
2019,6,A27 leptospirose,6
2019,6,B65-B83 helmintiases,5
2019,6,TODAS AS CAUSAS,38026
2019,7,A00-A09 intestinais,2556
2019,7,A27 leptospirose,1
2019,7,B15 hepatite A,1
2019,7,B65-B83 helmintiases,1
2019,7,TODAS AS CAUSAS,38414
2019,8,A00-A09 intestinais,2577
2019,8,B15 hepatite A,1
2019,8,B65-B83 helmintiases,6
2019,8,TODAS AS CAUSAS,38286
2019,9,A00-A09 intestinais,2796
2019,9,A27 leptospirose,2
2019,9,B15 hepatite A,2
2019,9,B65-B83 helmintiases,5
2019,9,TODAS AS CAUSAS,38358
2019,10,A00-A09 intestinais,3135
2019,10,B15 hepatite A,1
2019,10,B65-B83 helmintiases,5
2019,10,TODAS AS CAUSAS,38989
2019,11,A00-A09 intestinais,3126
2019,11,B15 hepatite A,2
2019,11,B65-B83 helmintiases,9
2019,11,TODAS AS CAUSAS,37557
2019,12,A00-A09 intestinais,3360
2019,12,B15 hepatite A,1
2019,12,B65-B83 helmintiases,8
2019,12,TODAS AS CAUSAS,36070
2020,1,A00-A09 intestinais,3711
2020,1,B15 hepatite A,2
2020,1,B65-B83 helmintiases,9
2020,1,TODAS AS CAUSAS,37724
2020,2,A00-A09 intestinais,3779
2020,2,A27 leptospirose,1
2020,2,B15 hepatite A,2
2020,2,B65-B83 helmintiases,12
2020,2,TODAS AS CAUSAS,36266
2020,3,A00-A09 intestinais,3078
2020,3,A27 leptospirose,5
2020,3,B65-B83 helmintiases,5
2020,3,TODAS AS CAUSAS,35054
2020,4,A00-A09 intestinais,2243
2020,4,A27 leptospirose,2
2020,4,B15 hepatite A,1
2020,4,B65-B83 helmintiases,5
2020,4,TODAS AS CAUSAS,28276
2020,5,A00-A09 intestinais,1672
2020,5,A27 leptospirose,1
2020,5,B65-B83 helmintiases,1
2020,5,TODAS AS CAUSAS,29542
2020,6,A00-A09 intestinais,1418
2020,6,B65-B83 helmintiases,1
2020,6,TODAS AS CAUSAS,28939
2020,7,A00-A09 intestinais,1343
2020,7,B65-B83 helmintiases,7
2020,7,TODAS AS CAUSAS,30997
2020,8,A00-A09 intestinais,1480
2020,8,B15 hepatite A,1
2020,8,B65-B83 helmintiases,7
2020,8,TODAS AS CAUSAS,31793
2020,9,A00-A09 intestinais,1579
2020,9,B65-B83 helmintiases,6
2020,9,TODAS AS CAUSAS,32023
2020,10,A00-A09 intestinais,1849
2020,10,B65-B83 helmintiases,2
2020,10,TODAS AS CAUSAS,34251
2020,11,A00-A09 intestinais,2002
2020,11,B65-B83 helmintiases,8
2020,11,TODAS AS CAUSAS,33172
2020,12,A00-A09 intestinais,1980
2020,12,B65-B83 helmintiases,4
2020,12,TODAS AS CAUSAS,31268
2021,1,A00-A09 intestinais,2329
2021,1,B65-B83 helmintiases,3
2021,1,TODAS AS CAUSAS,33592
2021,2,A00-A09 intestinais,2335
2021,2,B15 hepatite A,1
2021,2,B65-B83 helmintiases,5
2021,2,TODAS AS CAUSAS,33757
2021,3,A00-A09 intestinais,1799
2021,3,A27 leptospirose,1
2021,3,B65-B83 helmintiases,6
2021,3,TODAS AS CAUSAS,37954
2021,4,A00-A09 intestinais,1701
2021,4,B15 hepatite A,2
2021,4,B65-B83 helmintiases,4
2021,4,TODAS AS CAUSAS,36056
2021,5,A00-A09 intestinais,1721
2021,5,B65-B83 helmintiases,3
2021,5,TODAS AS CAUSAS,39000
2021,6,A00-A09 intestinais,1762
2021,6,B15 hepatite A,1
2021,6,B65-B83 helmintiases,3
2021,6,TODAS AS CAUSAS,38011
2021,7,A00-A09 intestinais,1902
2021,7,B65-B83 helmintiases,4
2021,7,TODAS AS CAUSAS,38795
2021,8,A00-A09 intestinais,2296
2021,8,A27 leptospirose,3
2021,8,B65-B83 helmintiases,10
2021,8,TODAS AS CAUSAS,38421
2021,9,A00-A09 intestinais,2278
2021,9,A27 leptospirose,1
2021,9,B15 hepatite A,2
2021,9,B65-B83 helmintiases,4
2021,9,TODAS AS CAUSAS,37780
2021,10,A00-A09 intestinais,2389
2021,10,B65-B83 helmintiases,5
2021,10,TODAS AS CAUSAS,38108
2021,11,A00-A09 intestinais,2439
2021,11,B15 hepatite A,1
2021,11,B65-B83 helmintiases,5
2021,11,TODAS AS CAUSAS,37090
2021,12,A00-A09 intestinais,2361
2021,12,B15 hepatite A,3
2021,12,B65-B83 helmintiases,6
2021,12,TODAS AS CAUSAS,38114
2022,1,A00-A09 intestinais,2033
2022,1,A27 leptospirose,1
2022,1,B15 hepatite A,1
2022,1,B65-B83 helmintiases,7
2022,1,TODAS AS CAUSAS,39185
2022,2,A00-A09 intestinais,2136
2022,2,B15 hepatite A,1
2022,2,B65-B83 helmintiases,5
2022,2,TODAS AS CAUSAS,38120
2022,3,A00-A09 intestinais,2280
2022,3,A27 leptospirose,2
2022,3,B15 hepatite A,2
2022,3,B65-B83 helmintiases,5
2022,3,TODAS AS CAUSAS,39883
2022,4,A00-A09 intestinais,2446
2022,4,A27 leptospirose,3
2022,4,B15 hepatite A,1
2022,4,B65-B83 helmintiases,7
2022,4,TODAS AS CAUSAS,40530
2022,5,A00-A09 intestinais,2478
2022,5,A27 leptospirose,5
2022,5,B15 hepatite A,1
2022,5,B65-B83 helmintiases,8
2022,5,TODAS AS CAUSAS,42596
2022,6,A00-A09 intestinais,2197
2022,6,A27 leptospirose,9
2022,6,B15 hepatite A,2
2022,6,B65-B83 helmintiases,5
2022,6,TODAS AS CAUSAS,40975
2022,7,A00-A09 intestinais,2123
2022,7,A27 leptospirose,3
