municipio,ponto_rio,ponto_grupo,iqa,papel,criterio,estacao_codigo,estacao_nome,estacao_rio,estacao_lat,estacao_lon,distancia_km
Sao Caetano do Sul,Ribeirao dos Meninos,Bigua / Projeto IPH,Pessima,qualidade_agua,mesmo municipio,62224300,RIO TAMANDUATEI (frente Secr. de Transportes),RIO TAMANDUATEÍ,-23.5267,-46.6322,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,fluviometrica,mesmo rio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,fluviometrica,mesmo rio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,fluviometrica,mesmo rio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300550,RIO PINHEIROS - Próx. elevatória,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300560,RIO PINHEIROS (Pinheiros/Pedreira),RIO PINHEIROS,-23.705,-46.6836,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300570,RIO PINHEIROS (Est.Flot.1e a ponte de Interlagos),RIO PINHEIROS,-23.6875,-46.6953,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300580,RIO PINHEIROS (em frente a estação de Jurutuba),RIO PINHEIROS,-23.6769,-46.3528,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios,Pessima,qualidade_agua,mesmo rio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,fluviometrica,mesmo rio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,fluviometrica,mesmo rio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,fluviometrica,mesmo rio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300550,RIO PINHEIROS - Próx. elevatória,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300560,RIO PINHEIROS (Pinheiros/Pedreira),RIO PINHEIROS,-23.705,-46.6836,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300570,RIO PINHEIROS (Est.Flot.1e a ponte de Interlagos),RIO PINHEIROS,-23.6875,-46.6953,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300580,RIO PINHEIROS (em frente a estação de Jurutuba),RIO PINHEIROS,-23.6769,-46.3528,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 2,Pessima,qualidade_agua,mesmo rio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,fluviometrica,mesmo rio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,fluviometrica,mesmo rio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,fluviometrica,mesmo rio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300550,RIO PINHEIROS - Próx. elevatória,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300560,RIO PINHEIROS (Pinheiros/Pedreira),RIO PINHEIROS,-23.705,-46.6836,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300570,RIO PINHEIROS (Est.Flot.1e a ponte de Interlagos),RIO PINHEIROS,-23.6875,-46.6953,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300580,RIO PINHEIROS (em frente a estação de Jurutuba),RIO PINHEIROS,-23.6769,-46.3528,
