ano,mes,grupo,internacoes
2012,6,TODAS AS CAUSAS,6861
2012,7,A00-A09 intestinais,142
2012,7,TODAS AS CAUSAS,7064
2012,8,A00-A09 intestinais,149
2012,8,TODAS AS CAUSAS,7256
2012,9,A00-A09 intestinais,153
2012,9,B65-B83 helmintiases,1
2012,9,TODAS AS CAUSAS,7004
2012,10,A00-A09 intestinais,193
2012,10,B15 hepatite A,3
2012,10,TODAS AS CAUSAS,7101
2012,11,A00-A09 intestinais,150
2012,11,B15 hepatite A,2
2012,11,TODAS AS CAUSAS,6616
2012,12,A00-A09 intestinais,180
2012,12,A27 leptospirose,1
2012,12,B15 hepatite A,1
2012,12,TODAS AS CAUSAS,6489
2013,1,A00-A09 intestinais,135
2013,1,A27 leptospirose,1
2013,1,B15 hepatite A,4
2013,1,TODAS AS CAUSAS,6208
2013,2,A00-A09 intestinais,173
2013,2,A27 leptospirose,2
2013,2,B15 hepatite A,1
2013,2,TODAS AS CAUSAS,6127
2013,3,A00-A09 intestinais,136
2013,3,A27 leptospirose,1
2013,3,B15 hepatite A,1
2013,3,TODAS AS CAUSAS,6447
2013,4,A00-A09 intestinais,140
2013,4,B15 hepatite A,3
2013,4,B65-B83 helmintiases,1
2013,4,TODAS AS CAUSAS,6635
2013,5,A00-A09 intestinais,120
2013,5,B15 hepatite A,3
2013,5,TODAS AS CAUSAS,6639
2013,6,A00-A09 intestinais,97
2013,6,B15 hepatite A,1
2013,6,TODAS AS CAUSAS,6251
2013,7,A00-A09 intestinais,91
2013,7,B15 hepatite A,1
2013,7,TODAS AS CAUSAS,6239
2013,8,A00-A09 intestinais,81
2013,8,TODAS AS CAUSAS,6636
2013,9,A00-A09 intestinais,113
2013,9,B15 hepatite A,2
2013,9,B65-B83 helmintiases,1
2013,9,TODAS AS CAUSAS,6561
2013,10,A00-A09 intestinais,94
2013,10,B15 hepatite A,1
2013,10,TODAS AS CAUSAS,6358
2013,11,A00-A09 intestinais,138
2013,11,TODAS AS CAUSAS,6540
2013,12,A00-A09 intestinais,145
2013,12,A27 leptospirose,1
2013,12,B15 hepatite A,2
2013,12,TODAS AS CAUSAS,5934
2014,1,A00-A09 intestinais,169
2014,1,TODAS AS CAUSAS,6228
2014,2,A00-A09 intestinais,184
2014,2,TODAS AS CAUSAS,6447
2014,3,A00-A09 intestinais,152
2014,3,TODAS AS CAUSAS,6358
2014,4,A00-A09 intestinais,159
2014,4,A27 leptospirose,1
2014,4,B65-B83 helmintiases,1
2014,4,TODAS AS CAUSAS,6150
2014,5,A00-A09 intestinais,130
2014,5,A27 leptospirose,1
2014,5,TODAS AS CAUSAS,6426
2014,6,A00-A09 intestinais,126
2014,6,A27 leptospirose,1
2014,6,B65-B83 helmintiases,1
2014,6,TODAS AS CAUSAS,6729
2014,7,A00-A09 intestinais,95
2014,7,A27 leptospirose,1
2014,7,TODAS AS CAUSAS,7036
2014,8,A00-A09 intestinais,109
2014,8,B65-B83 helmintiases,1
2014,8,TODAS AS CAUSAS,6751
2014,9,A00-A09 intestinais,122
2014,9,TODAS AS CAUSAS,7025
2014,10,A00-A09 intestinais,149
2014,10,TODAS AS CAUSAS,6701
2014,11,A00-A09 intestinais,117
2014,11,TODAS AS CAUSAS,6553
2014,12,A00-A09 intestinais,121
2014,12,TODAS AS CAUSAS,5822
2015,1,A00-A09 intestinais,115
2015,1,A27 leptospirose,1
2015,1,TODAS AS CAUSAS,5973
2015,2,A00-A09 intestinais,143
2015,2,TODAS AS CAUSAS,5383
2015,3,A00-A09 intestinais,95
2015,3,B15 hepatite A,1
2015,3,TODAS AS CAUSAS,5693
2015,4,A00-A09 intestinais,109
2015,4,B15 hepatite A,1
2015,4,TODAS AS CAUSAS,6045
2015,5,A00-A09 intestinais,88
2015,5,A27 leptospirose,2
2015,5,TODAS AS CAUSAS,6155
2015,6,A00-A09 intestinais,69
2015,6,TODAS AS CAUSAS,5946
2015,7,A00-A09 intestinais,61
2015,7,TODAS AS CAUSAS,6131
2015,8,A00-A09 intestinais,56
2015,8,A27 leptospirose,2
2015,8,TODAS AS CAUSAS,6275
2015,9,A00-A09 intestinais,109
2015,9,B65-B83 helmintiases,1
2015,9,TODAS AS CAUSAS,6280
2015,10,A00-A09 intestinais,94
2015,10,B15 hepatite A,1
2015,10,TODAS AS CAUSAS,5925
2015,11,A00-A09 intestinais,106
2015,11,A27 leptospirose,1
2015,11,TODAS AS CAUSAS,5835
2015,12,A00-A09 intestinais,93
2015,12,TODAS AS CAUSAS,5760
2016,1,A00-A09 intestinais,108
2016,1,A27 leptospirose,2
2016,1,TODAS AS CAUSAS,5465
2016,2,A00-A09 intestinais,113
2016,2,A27 leptospirose,1
2016,2,TODAS AS CAUSAS,5558
2016,3,A00-A09 intestinais,98
2016,3,A27 leptospirose,1
2016,3,B65-B83 helmintiases,1
2016,3,TODAS AS CAUSAS,5794
2016,4,A00-A09 intestinais,79
2016,4,TODAS AS CAUSAS,6249
2016,5,A00-A09 intestinais,87
2016,5,B65-B83 helmintiases,1
2016,5,TODAS AS CAUSAS,6208
2016,6,A00-A09 intestinais,68
2016,6,A27 leptospirose,1
2016,6,TODAS AS CAUSAS,6386
2016,7,A00-A09 intestinais,81
2016,7,TODAS AS CAUSAS,6465
2016,8,A00-A09 intestinais,114
2016,8,TODAS AS CAUSAS,6474
2016,9,A00-A09 intestinais,133
2016,9,B65-B83 helmintiases,1
2016,9,TODAS AS CAUSAS,6452
2016,10,A00-A09 intestinais,146
2016,10,TODAS AS CAUSAS,6331
2016,11,A00-A09 intestinais,147
2016,11,B15 hepatite A,1
2016,11,B65-B83 helmintiases,1
2016,11,TODAS AS CAUSAS,6026
2016,12,A00-A09 intestinais,101
2016,12,B15 hepatite A,1
2016,12,TODAS AS CAUSAS,5375
2017,1,A00-A09 intestinais,144
2017,1,A27 leptospirose,1
2017,1,TODAS AS CAUSAS,5826
2017,2,A00-A09 intestinais,119
2017,2,A27 leptospirose,1
2017,2,TODAS AS CAUSAS,5850
2017,3,A00-A09 intestinais,112
2017,3,A27 leptospirose,2
2017,3,B65-B83 helmintiases,1
2017,3,TODAS AS CAUSAS,6443
2017,4,A00-A09 intestinais,96
2017,4,TODAS AS CAUSAS,6074
2017,5,A00-A09 intestinais,88
2017,5,B15 hepatite A,1
2017,5,TODAS AS CAUSAS,6241
2017,6,A00-A09 intestinais,76
2017,6,B15 hepatite A,1
2017,6,TODAS AS CAUSAS,6371
2017,7,A00-A09 intestinais,58
2017,7,TODAS AS CAUSAS,6154
2017,8,A00-A09 intestinais,50
2017,8,TODAS AS CAUSAS,6232
2017,9,A00-A09 intestinais,83
2017,9,TODAS AS CAUSAS,6433
2017,10,A00-A09 intestinais,59
2017,10,TODAS AS CAUSAS,6443
2017,11,A00-A09 intestinais,80
2017,11,TODAS AS CAUSAS,6612
2017,12,A00-A09 intestinais,61
2017,12,A27 leptospirose,1
2017,12,TODAS AS CAUSAS,6310
2018,1,A00-A09 intestinais,69
2018,1,B65-B83 helmintiases,1
2018,1,TODAS AS CAUSAS,5581
2018,2,A00-A09 intestinais,83
2018,2,TODAS AS CAUSAS,5740
2018,3,A00-A09 intestinais,93
2018,3,B15 hepatite A,1
2018,3,TODAS AS CAUSAS,6160
2018,4,A00-A09 intestinais,75
2018,4,A27 leptospirose,1
2018,4,TODAS AS CAUSAS,6577
2018,5,A00-A09 intestinais,49
2018,5,A27 leptospirose,1
2018,5,TODAS AS CAUSAS,6524
2018,6,A00-A09 intestinais,49
2018,6,B65-B83 helmintiases,1
2018,6,TODAS AS CAUSAS,6691
2018,7,A00-A09 intestinais,38
2018,7,TODAS AS CAUSAS,6808
2018,8,A00-A09 intestinais,47
2018,8,TODAS AS CAUSAS,6618
2018,9,A00-A09 intestinais,47
2018,9,TODAS AS CAUSAS,6617
2018,10,A00-A09 intestinais,45
2018,10,A27 leptospirose,1
2018,10,TODAS AS CAUSAS,6490
