cod6,ano,faixa,obitos_a00a09,obitos_mal_definidos,obitos_total
210020,2010,0a4,1,1,11
210020,2010,20a59,0,3,20
210020,2010,5a19,0,1,3
210020,2010,60mais,1,14,50
210020,2011,0a4,0,0,2
210020,2011,20a59,0,3,18
210020,2011,5a19,0,1,4
210020,2011,60mais,0,15,37
210020,2012,0a4,0,0,7
210020,2012,20a59,0,4,15
210020,2012,5a19,0,0,1
210020,2012,60mais,1,13,48
210020,2013,0a4,0,0,5
210020,2013,20a59,0,7,29
210020,2013,5a19,0,0,3
210020,2013,60mais,0,15,53
210020,2014,0a4,0,0,3
210020,2014,20a59,0,6,24
210020,2014,5a19,0,1,4
210020,2014,60mais,0,9,47
210020,2015,0a4,0,0,6
210020,2015,20a59,0,2,31
210020,2015,5a19,0,0,5
210020,2015,60mais,0,1,38
210020,2016,0a4,0,0,4
210020,2016,20a59,0,3,18
210020,2016,5a19,0,0,2
210020,2016,60mais,0,6,63
210020,2017,0a4,0,0,2
210020,2017,20a59,0,1,19
210020,2017,5a19,0,0,2
210020,2017,60mais,0,10,62
210020,2018,0a4,0,0,3
210020,2018,20a59,0,4,24
210020,2018,5a19,0,2,2
210020,2018,60mais,0,1,71
210020,2019,0a4,0,0,2
210020,2019,20a59,0,4,21
210020,2019,5a19,0,0,1
210020,2019,60mais,0,4,59
210020,2020,0a4,0,0,1
210020,2020,20a59,0,5,29
210020,2020,5a19,0,1,2
210020,2020,60mais,0,2,59
210020,2021,0a4,0,0,4
210020,2021,20a59,0,2,28
210020,2021,5a19,0,0,2
210020,2021,60mais,0,8,76
210020,2022,0a4,0,0,6
210020,2022,20a59,0,2,23
210020,2022,5a19,0,0,2
210020,2022,60mais,0,4,67
210020,2023,0a4,0,0,4
210020,2023,20a59,0,1,24
210020,2023,5a19,0,0,1
210020,2023,60mais,0,5,76
210020,2024,0a4,0,0,3
210020,2024,20a59,0,1,26
210020,2024,5a19,0,0,3
210020,2024,60mais,0,9,73
210030,2008,0a4,0,0,17
210030,2008,20a59,0,4,31
210030,2008,5a19,0,0,3
210030,2008,60mais,1,8,25
210030,2009,0a4,0,0,13
210030,2009,20a59,1,8,29
210030,2009,5a19,0,0,2
210030,2009,60mais,0,12,35
210030,2010,0a4,0,0,9
