ano,mes,chuva_mm,normal_mm,anomalia_mm,anomalia_pct,oni,fase
1950,1,187.66,165.94780952380952,21.71219047619047,13.083746352840707,-1.53,La Nina forte
1950,2,198.6942857142857,165.61752380952382,33.076761904761895,19.9717766235917,-1.34,La Nina moderada
1950,3,161.9457142857143,128.59952380952382,33.346190476190486,25.930259683994986,-1.16,La Nina moderada
1950,4,162.11428571428573,123.01209523809524,39.102190476190486,31.787272951091925,-1.18,La Nina moderada
1950,5,134.27714285714285,149.96038095238094,-15.683238095238096,-10.458254370678224,-1.07,La Nina moderada
1950,6,224.78,131.05228571428572,93.72771428571428,71.51932816345929,-0.85,La Nina fraca
1950,7,130.6542857142857,105.8864761904762,24.76780952380949,23.390909221736095,-0.54,La Nina fraca
1950,8,29.391428571428573,92.07361904761905,-62.68219047619047,-68.0783389689203,-0.42,neutro
1950,9,185.10285714285715,147.04580952380954,38.05704761904761,25.881082733531038,-0.39,neutro
1950,10,259.5514285714286,193.30371428571428,66.2477142857143,34.27130954545253,-0.44,neutro
1950,11,166.75714285714287,153.6029523809524,13.154190476190479,8.56376148523931,-0.6,La Nina fraca
1950,12,195.93142857142857,185.4586666666667,10.472761904761882,5.64695200984328,-0.8,La Nina fraca
1951,1,241.25428571428571,165.94780952380952,75.30647619047619,45.3796144743155,-0.82,La Nina fraca
1951,2,229.8542857142857,165.61752380952382,64.23676190476189,38.78621079894926,-0.54,La Nina fraca
1951,3,181.7342857142857,128.59952380952382,53.13476190476189,41.318008287077994,-0.17,neutro
1951,4,13.817142857142859,123.01209523809524,-109.19495238095239,-88.76765505831017,0.18,neutro
1951,5,107.79428571428572,149.96038095238094,-42.166095238095224,-28.118156922717358,0.36,neutro
1951,6,69.16571428571429,131.05228571428572,-61.88657142857143,-47.22280965285393,0.58,El Nino fraco
1951,7,29.097142857142856,105.8864761904762,-76.78933333333335,-72.5204351830532,0.7,El Nino fraco
1951,8,28.845714285714287,92.07361904761905,-63.22790476190476,-68.67103239333328,0.89,El Nino fraco
1951,9,150.85142857142858,147.04580952380954,3.8056190476190466,2.5880499824803533,0.99,El Nino fraco
1951,10,245.48,193.30371428571428,52.17628571428571,26.99186919769482,1.15,El Nino moderado
1951,11,218.3657142857143,153.6029523809524,64.7627619047619,42.16244603433341,1.04,El Nino moderado
1951,12,134.42571428571426,185.4586666666667,-51.03295238095242,-27.517156948333007,0.81,El Nino fraco
1952,1,199.89428571428573,165.94780952380952,33.946476190476204,20.45611586431076,0.53,El Nino fraco
1952,2,271.57714285714286,165.61752380952382,105.95961904761904,63.97850699028857,0.37,neutro
1952,3,190.53714285714287,128.59952380952382,61.93761904761905,48.16317915714715,0.34,neutro
1952,4,38.137142857142855,123.01209523809524,-84.87495238095238,-68.99724146367333,0.29,neutro
1952,5,65.57142857142857,149.96038095238094,-84.38895238095238,-56.2741651128171,0.2,neutro
1952,6,148.63714285714286,131.05228571428572,17.584857142857146,13.418199497256277,0.0,neutro
1952,7,59.16857142857143,105.8864761904762,-46.71790476190477,-44.12074746718858,-0.08,neutro
