ano,mes,grupo,internacoes
2010,7,B65-B83 helmintiases,6
2010,7,TODAS AS CAUSAS,67491
2010,8,A00-A09 intestinais,1976
2010,8,A27 leptospirose,7
2010,8,B15 hepatite A,3
2010,8,B65-B83 helmintiases,9
2010,8,TODAS AS CAUSAS,68300
2010,9,A00-A09 intestinais,2345
2010,9,A27 leptospirose,6
2010,9,B15 hepatite A,3
2010,9,B65-B83 helmintiases,1
2010,9,TODAS AS CAUSAS,67446
2010,10,A00-A09 intestinais,2265
2010,10,A27 leptospirose,9
2010,10,B15 hepatite A,2
2010,10,B65-B83 helmintiases,1
2010,10,TODAS AS CAUSAS,67257
2010,11,A00-A09 intestinais,2446
2010,11,A27 leptospirose,11
2010,11,B15 hepatite A,1
2010,11,B65-B83 helmintiases,3
2010,11,TODAS AS CAUSAS,67304
2010,12,A00-A09 intestinais,2288
2010,12,A27 leptospirose,9
2010,12,B15 hepatite A,1
2010,12,B65-B83 helmintiases,4
2010,12,TODAS AS CAUSAS,65266
2011,1,A00-A09 intestinais,2129
2011,1,A27 leptospirose,35
2011,1,B65-B83 helmintiases,4
2011,1,TODAS AS CAUSAS,66140
2011,2,A00-A09 intestinais,2154
2011,2,A27 leptospirose,55
2011,2,B15 hepatite A,2
2011,2,B65-B83 helmintiases,4
2011,2,TODAS AS CAUSAS,64004
2011,3,A00-A09 intestinais,1944
2011,3,A27 leptospirose,49
2011,3,B15 hepatite A,1
2011,3,B65-B83 helmintiases,4
2011,3,TODAS AS CAUSAS,65262
2011,4,A00-A09 intestinais,1763
2011,4,A27 leptospirose,29
2011,4,B15 hepatite A,4
2011,4,B65-B83 helmintiases,7
2011,4,TODAS AS CAUSAS,67030
2011,5,A00-A09 intestinais,1389
2011,5,A27 leptospirose,16
2011,5,B15 hepatite A,2
2011,5,B65-B83 helmintiases,7
2011,5,TODAS AS CAUSAS,65308
2011,6,A00-A09 intestinais,1205
2011,6,A27 leptospirose,11
2011,6,B15 hepatite A,1
2011,6,B65-B83 helmintiases,3
2011,6,TODAS AS CAUSAS,65980
2011,7,A00-A09 intestinais,1215
2011,7,A27 leptospirose,10
2011,7,B15 hepatite A,2
2011,7,B65-B83 helmintiases,7
2011,7,TODAS AS CAUSAS,66780
2011,8,A00-A09 intestinais,1290
2011,8,A27 leptospirose,7
2011,8,B65-B83 helmintiases,2
2011,8,TODAS AS CAUSAS,64074
2011,9,A00-A09 intestinais,1377
2011,9,A27 leptospirose,7
2011,9,B15 hepatite A,1
2011,9,B65-B83 helmintiases,3
2011,9,TODAS AS CAUSAS,63546
2011,10,A00-A09 intestinais,1616
2011,10,A27 leptospirose,14
2011,10,B15 hepatite A,1
2011,10,B65-B83 helmintiases,3
2011,10,TODAS AS CAUSAS,64881
2011,11,A00-A09 intestinais,1707
2011,11,A27 leptospirose,17
2011,11,B15 hepatite A,3
2011,11,B65-B83 helmintiases,3
2011,11,TODAS AS CAUSAS,64506
2011,12,A00-A09 intestinais,1857
2011,12,A27 leptospirose,10
2011,12,B15 hepatite A,5
2011,12,B65-B83 helmintiases,3
2011,12,TODAS AS CAUSAS,64548
2012,1,A00-A09 intestinais,1897
2012,1,A27 leptospirose,10
2012,1,B15 hepatite A,3
2012,1,B65-B83 helmintiases,5
2012,1,TODAS AS CAUSAS,63946
2012,2,A00-A09 intestinais,1882
2012,2,A27 leptospirose,18
2012,2,B65-B83 helmintiases,5
2012,2,TODAS AS CAUSAS,61698
2012,3,A00-A09 intestinais,2008
2012,3,A27 leptospirose,14
2012,3,B15 hepatite A,3
2012,3,B65-B83 helmintiases,2
2012,3,TODAS AS CAUSAS,65113
2012,4,A00-A09 intestinais,1993
2012,4,A27 leptospirose,13
2012,4,B15 hepatite A,3
2012,4,B65-B83 helmintiases,7
2012,4,TODAS AS CAUSAS,64982
2012,5,A00-A09 intestinais,1750
2012,5,A27 leptospirose,8
2012,5,B15 hepatite A,3
2012,5,B65-B83 helmintiases,2
2012,5,TODAS AS CAUSAS,67853
2012,6,A00-A09 intestinais,1789
2012,6,A27 leptospirose,8
2012,6,B15 hepatite A,7
2012,6,B65-B83 helmintiases,2
2012,6,TODAS AS CAUSAS,66716
2012,7,A00-A09 intestinais,1346
2012,7,A27 leptospirose,7
2012,7,B65-B83 helmintiases,1
2012,7,TODAS AS CAUSAS,66682
2012,8,A00-A09 intestinais,1498
2012,8,A27 leptospirose,5
2012,8,B15 hepatite A,1
2012,8,TODAS AS CAUSAS,67847
2012,9,A00-A09 intestinais,1637
2012,9,A27 leptospirose,4
2012,9,B65-B83 helmintiases,5
2012,9,TODAS AS CAUSAS,66796
2012,10,A00-A09 intestinais,1725
2012,10,A27 leptospirose,10
2012,10,B15 hepatite A,4
2012,10,B65-B83 helmintiases,4
2012,10,TODAS AS CAUSAS,65641
2012,11,A00-A09 intestinais,1608
2012,11,A27 leptospirose,11
2012,11,B15 hepatite A,3
2012,11,B65-B83 helmintiases,6
2012,11,TODAS AS CAUSAS,63951
2012,12,A00-A09 intestinais,1668
2012,12,A27 leptospirose,12
2012,12,B15 hepatite A,1
2012,12,B65-B83 helmintiases,3
2012,12,TODAS AS CAUSAS,61948
2013,1,A00-A09 intestinais,1646
2013,1,A27 leptospirose,14
2013,1,B15 hepatite A,4
2013,1,B65-B83 helmintiases,1
2013,1,TODAS AS CAUSAS,62182
2013,2,A00-A09 intestinais,1674
2013,2,A27 leptospirose,20
2013,2,B15 hepatite A,4
2013,2,B65-B83 helmintiases,5
2013,2,TODAS AS CAUSAS,60779
2013,3,A00-A09 intestinais,1493
2013,3,A27 leptospirose,18
2013,3,B15 hepatite A,1
2013,3,B65-B83 helmintiases,6
2013,3,TODAS AS CAUSAS,63538
2013,4,A00-A09 intestinais,1369
2013,4,A27 leptospirose,16
2013,4,B15 hepatite A,6
2013,4,B65-B83 helmintiases,2
2013,4,TODAS AS CAUSAS,65424
2013,5,A00-A09 intestinais,1270
2013,5,A27 leptospirose,9
2013,5,B15 hepatite A,3
2013,5,B65-B83 helmintiases,2
2013,5,TODAS AS CAUSAS,65464
2013,6,A00-A09 intestinais,949
2013,6,A27 leptospirose,11
2013,6,B15 hepatite A,2
2013,6,B65-B83 helmintiases,5
2013,6,TODAS AS CAUSAS,64417
2013,7,A00-A09 intestinais,826
2013,7,A27 leptospirose,10
2013,7,B15 hepatite A,1
2013,7,B65-B83 helmintiases,6
2013,7,TODAS AS CAUSAS,65073
2013,8,A00-A09 intestinais,887
2013,8,A27 leptospirose,5
2013,8,B65-B83 helmintiases,5
2013,8,TODAS AS CAUSAS,65064
2013,9,A00-A09 intestinais,1134
2013,9,A27 leptospirose,5
2013,9,B15 hepatite A,3
2013,9,B65-B83 helmintiases,4
2013,9,TODAS AS CAUSAS,65039
2013,10,A00-A09 intestinais,1321
2013,10,A27 leptospirose,3
2013,10,B15 hepatite A,1
2013,10,B65-B83 helmintiases,2
2013,10,TODAS AS CAUSAS,64342
2013,11,A00-A09 intestinais,1502
2013,11,A27 leptospirose,8
2013,11,B15 hepatite A,1
2013,11,B65-B83 helmintiases,2
2013,11,TODAS AS CAUSAS,64215
2013,12,A00-A09 intestinais,1629
2013,12,A27 leptospirose,9
2013,12,B15 hepatite A,4
2013,12,B65-B83 helmintiases,2
2013,12,TODAS AS CAUSAS,60357
2014,1,A00-A09 intestinais,1577
2014,1,A27 leptospirose,12
2014,1,B15 hepatite A,3
2014,1,B65-B83 helmintiases,3
2014,1,TODAS AS CAUSAS,61830
2014,2,A00-A09 intestinais,1639
2014,2,A27 leptospirose,4
2014,2,B15 hepatite A,2
2014,2,B65-B83 helmintiases,4
2014,2,TODAS AS CAUSAS,62376
2014,3,A00-A09 intestinais,1424
2014,3,A27 leptospirose,10
2014,3,B65-B83 helmintiases,3
2014,3,TODAS AS CAUSAS,61791
2014,4,A00-A09 intestinais,1404
2014,4,A27 leptospirose,15
2014,4,B15 hepatite A,1
2014,4,B65-B83 helmintiases,2
2014,4,TODAS AS CAUSAS,61869
2014,5,A00-A09 intestinais,1047
2014,5,A27 leptospirose,8
2014,5,B65-B83 helmintiases,5
2014,5,TODAS AS CAUSAS,64532
2014,6,A00-A09 intestinais,980
2014,6,A27 leptospirose,6
2014,6,B15 hepatite A,1
2014,6,B65-B83 helmintiases,2
2014,6,TODAS AS CAUSAS,63243
2014,7,A00-A09 intestinais,920
2014,7,A27 leptospirose,12
2014,7,B15 hepatite A,2
2014,7,B65-B83 helmintiases,3
2014,7,TODAS AS CAUSAS,65732
2014,8,A00-A09 intestinais,1188
2014,8,A27 leptospirose,4
2014,8,B65-B83 helmintiases,2
2014,8,TODAS AS CAUSAS,66713
2014,9,A00-A09 intestinais,1404
2014,9,A27 leptospirose,3
2014,9,B15 hepatite A,3
2014,9,B65-B83 helmintiases,4
2014,9,TODAS AS CAUSAS,67010
2014,10,A00-A09 intestinais,1454
2014,10,A27 leptospirose,7
2014,10,B15 hepatite A,4
2014,10,TODAS AS CAUSAS,65655
2014,11,A00-A09 intestinais,1434
2014,11,A27 leptospirose,10
2014,11,B15 hepatite A,3
2014,11,B65-B83 helmintiases,2
2014,11,TODAS AS CAUSAS,64842
2014,12,A00-A09 intestinais,1265
2014,12,A27 leptospirose,4
2014,12,B15 hepatite A,1
2014,12,B65-B83 helmintiases,1
2014,12,TODAS AS CAUSAS,60995
2015,1,A00-A09 intestinais,1352
2015,1,A27 leptospirose,21
2015,1,B65-B83 helmintiases,3
2015,1,TODAS AS CAUSAS,61143
2015,2,A00-A09 intestinais,1329
2015,2,A27 leptospirose,11
2015,2,B15 hepatite A,1
2015,2,B65-B83 helmintiases,1
2015,2,TODAS AS CAUSAS,60579
2015,3,A00-A09 intestinais,1238
2015,3,A27 leptospirose,21
2015,3,B15 hepatite A,3
2015,3,B65-B83 helmintiases,5
2015,3,TODAS AS CAUSAS,64053
2015,4,A00-A09 intestinais,1185
2015,4,A27 leptospirose,26
2015,4,B15 hepatite A,1
2015,4,B65-B83 helmintiases,2
2015,4,TODAS AS CAUSAS,65022
2015,5,A00-A09 intestinais,1037
2015,5,A27 leptospirose,14
2015,5,B15 hepatite A,1
2015,5,B65-B83 helmintiases,2
2015,5,TODAS AS CAUSAS,66440
2015,6,A00-A09 intestinais,873
2015,6,A27 leptospirose,19
2015,6,B15 hepatite A,1
2015,6,B65-B83 helmintiases,2
2015,6,TODAS AS CAUSAS,65879
2015,7,A00-A09 intestinais,802
2015,7,A27 leptospirose,8
2015,7,B15 hepatite A,3
2015,7,B65-B83 helmintiases,4
2015,7,TODAS AS CAUSAS,66531
2015,8,A00-A09 intestinais,728
2015,8,A27 leptospirose,13
2015,8,B15 hepatite A,3
2015,8,B65-B83 helmintiases,5
2015,8,TODAS AS CAUSAS,65602
2015,9,A00-A09 intestinais,858
2015,9,A27 leptospirose,14
2015,9,B15 hepatite A,3
2015,9,B65-B83 helmintiases,7
2015,9,TODAS AS CAUSAS,65033
2015,10,A00-A09 intestinais,996
2015,10,A27 leptospirose,6
2015,10,B15 hepatite A,3
2015,10,B65-B83 helmintiases,2
2015,10,TODAS AS CAUSAS,64243
2015,11,A00-A09 intestinais,1195
2015,11,A27 leptospirose,7
2015,11,B65-B83 helmintiases,6
2015,11,TODAS AS CAUSAS,65003
2015,12,A00-A09 intestinais,1117
2015,12,A27 leptospirose,15
2015,12,B15 hepatite A,1
2015,12,B65-B83 helmintiases,4
2015,12,TODAS AS CAUSAS,63186
2016,1,A00-A09 intestinais,1275
2016,1,A27 leptospirose,25
2016,1,B65-B83 helmintiases,4
2016,1,TODAS AS CAUSAS,62928
2016,2,A00-A09 intestinais,1326
2016,2,A27 leptospirose,17
2016,2,B15 hepatite A,3
2016,2,B65-B83 helmintiases,4
2016,2,TODAS AS CAUSAS,62370
2016,3,A00-A09 intestinais,1250
2016,3,A27 leptospirose,39
2016,3,B15 hepatite A,1
2016,3,B65-B83 helmintiases,5
2016,3,TODAS AS CAUSAS,67107
2016,4,A00-A09 intestinais,1104
2016,4,A27 leptospirose,24
2016,4,B15 hepatite A,2
2016,4,B65-B83 helmintiases,4
2016,4,TODAS AS CAUSAS,67809
2016,5,A00-A09 intestinais,972
2016,5,A27 leptospirose,24
2016,5,B15 hepatite A,1
2016,5,B65-B83 helmintiases,6
2016,5,TODAS AS CAUSAS,70074
2016,6,A00-A09 intestinais,867
2016,6,A27 leptospirose,8
2016,6,B15 hepatite A,1
2016,6,B65-B83 helmintiases,3
2016,6,TODAS AS CAUSAS,68890
2016,7,A00-A09 intestinais,936
2016,7,A27 leptospirose,9
2016,7,B15 hepatite A,1
2016,7,B65-B83 helmintiases,3
2016,7,TODAS AS CAUSAS,69678
2016,8,A00-A09 intestinais,1156
2016,8,A27 leptospirose,7
2016,8,B15 hepatite A,1
2016,8,B65-B83 helmintiases,3
2016,8,TODAS AS CAUSAS,68682
2016,9,A00-A09 intestinais,1256
2016,9,A27 leptospirose,5
2016,9,B15 hepatite A,1
2016,9,B65-B83 helmintiases,5
2016,9,TODAS AS CAUSAS,67843
2016,10,A00-A09 intestinais,1129
2016,10,A27 leptospirose,9
2016,10,B15 hepatite A,1
2016,10,B65-B83 helmintiases,3
2016,10,TODAS AS CAUSAS,67694
2016,11,A00-A09 intestinais,1202
2016,11,A27 leptospirose,12
2016,11,B15 hepatite A,4
2016,11,B65-B83 helmintiases,7
2016,11,TODAS AS CAUSAS,66197
2016,12,A00-A09 intestinais,1066
2016,12,A27 leptospirose,14
2016,12,B15 hepatite A,2
2016,12,B65-B83 helmintiases,2
2016,12,TODAS AS CAUSAS,64090
2017,1,A00-A09 intestinais,1277
2017,1,A27 leptospirose,6
2017,1,B15 hepatite A,1
2017,1,B65-B83 helmintiases,2
2017,1,TODAS AS CAUSAS,63325
2017,2,A00-A09 intestinais,1153
2017,2,A27 leptospirose,19
2017,2,B15 hepatite A,2
2017,2,B65-B83 helmintiases,5
2017,2,TODAS AS CAUSAS,64663
2017,3,A00-A09 intestinais,1077
2017,3,A27 leptospirose,19
2017,3,B65-B83 helmintiases,5
2017,3,TODAS AS CAUSAS,69014
2017,4,A00-A09 intestinais,967
2017,4,A27 leptospirose,7
