ano,mes,casos,total,anomalia_mm,oni,fase,dias_20mm,dias_50mm,max_diario_mm,temp_media,t,anomalia_mm_lag0,anomalia_mm_lag1,anomalia_mm_lag2,dias_20mm_lag0,dias_20mm_lag1,dias_20mm_lag2,dias_50mm_lag0,dias_50mm_lag1,dias_50mm_lag2,max_diario_mm_lag0,max_diario_mm_lag1,max_diario_mm_lag2
2010,3,339.0,6837.0,1.2547619047618923,0.84,El Nino fraco,1.886,0.086,36.9,24.148,26,1.2547619047618923,-2.6489523809524087,38.389333333333326,1.886,1.143,1.857,0.086,0.057,0.714,36.9,25.214,56.76
2010,4,274.0,6285.0,61.34504761904762,0.35,neutro,3.886,0.914,53.811,21.308,27,61.34504761904762,1.2547619047618923,-2.6489523809524087,3.886,1.886,1.143,0.914,0.086,0.057,53.811,36.9,25.214
2010,5,200.0,7218.0,25.07390476190477,-0.17,neutro,3.914,0.171,44.723,17.003,28,25.07390476190477,61.34504761904762,1.2547619047618923,3.914,3.886,1.886,0.171,0.914,0.086,44.723,53.811,36.9
2010,6,153.0,6380.0,-87.78085714285714,-0.66,La Nina fraca,0.886,0.0,24.771,17.366,29,-87.78085714285714,25.07390476190477,61.34504761904762,0.886,3.914,3.886,0.0,0.171,0.914,24.771,44.723,53.811
2010,7,244.0,6982.0,25.190666666666655,-1.05,La Nina moderada,2.8,0.0,29.609,16.869,30,25.190666666666655,-87.78085714285714,25.07390476190477,2.8,0.886,3.914,0.0,0.0,0.171,29.609,24.771,44.723
2010,8,215.0,7757.0,-69.5164761904762,-1.35,La Nina moderada,0.0,0.0,9.857,17.906,31,-69.5164761904762,25.190666666666655,-87.78085714285714,0.0,2.8,0.886,0.0,0.0,0.0,9.857,29.609,24.771
2010,9,237.0,6943.0,4.302761904761894,-1.56,La Nina forte,2.2,0.857,51.037,20.959,32,4.302761904761894,-69.5164761904762,25.190666666666655,2.2,0.0,2.8,0.857,0.0,0.0,51.037,9.857,29.609
2010,10,246.0,6932.0,19.459142857142865,-1.64,La Nina forte,3.886,0.571,51.237,20.189,33,19.459142857142865,4.302761904761894,-69.5164761904762,3.886,2.2,0.0,0.571,0.857,0.0,51.237,51.037,9.857
2010,11,278.0,7186.0,-53.87438095238096,-1.64,La Nina forte,1.4,0.0,25.566,21.663,34,-53.87438095238096,19.459142857142865,4.302761904761894,1.4,3.886,2.2,0.0,0.571,0.857,25.566,51.237,51.037
2010,12,276.0,6534.0,75.27847619047614,-1.54,La Nina forte,4.143,0.029,37.637,23.726,35,75.27847619047614,-53.87438095238096,19.459142857142865,4.143,1.4,3.886,0.029,0.0,0.571,37.637,25.566,51.237
